Participant_ID,Route,evn,probe_label,seq,Question_Type,Target_Accuracy,Target_Latency,Target_Confidence,target_dwell,error_dial,latency_dial,unsure_dial,attn_risk,error_dial_recent,latency_dial_recent,unsure_dial_recent,attn_risk_recent,error_dial_prev,latency_dial_prev,unsure_dial_prev,attn_risk_prev,recent_flag,recent_sustained,recent_level,conf_prompt,conf_confirmed,overconf_flag,attn_risk_recent_adj,attn_risk_recent_adj_prev,recent_level_adj,is_error,is_delayed,is_unsure,any_fail,lapse
04_RT,2,2,R2Q2,2,Sign,1,1.2,6.0,0.1804,0.25,0.053763440860215055,0.15,0.25,0.3125338777899742,0.15188172043010753,0.23482142857142857,0.3125338777899742,0.3750677555799484,0.25,0.3196428571428571,0.3750677555799484,1,1,Red,1,0,1,0.4555084745762712,0.6610169491525424,Red,0,0,0,0,0
04_RT,2,3,R2Q3,3,Animal,1,1.163,7.0,0.3116,0.20408164,0.053763440860215055,0.11764705882352941,0.20408163964748383,0.258307758718729,0.1028225806451613,0.17623424369747898,0.258307758718729,0.3125338777899742,0.15188172043010753,0.23482142857142857,0.3125338777899742,1,1,Amber,0,0,0,0.3297950571118775,0.4555084745762712,Red,0,0,0,0,0
04_RT,3,1,R3Q1,4,Animal,1,4.525,3.0,0.0,0.15789473,0.25,0.9,0.25,0.20810124464333057,0.17641129032258066,0.5381171218487395,0.2541538793593645,0.258307758718729,0.1028225806451613,0.17623424369747898,0.258307758718729,1,1,Amber,0,0,0,0.28989752855593875,0.3297950571118775,Red,0,1,1,1,0
04_RT,3,3,R3Q3,5,Sign,1,3.595,6.0,0.039400000000000004,0.092857145,0.053763440860215055,0.44,0.09285714477300644,0.1504791947081685,0.11508736559139786,0.4890585609243697,0.17350551206618547,0.20810124464333057,0.17641129032258066,0.5381171218487395,0.2541538793593645,0,0,Green,0,0,0,0.1913773366644726,0.28989752855593875,Amber,0,1,0,1,0
04_RT,4,2,R4Q2,6,Sign,0,1.693,1.0,0.0,0.31111112,0.053763440860215055,0.15,0.31111112236976624,0.23079515853896737,0.08442540322580645,0.3195292804621849,0.24230831721797585,0.1504791947081685,0.11508736559139786,0.4890585609243697,0.17350551206618547,1,0,Amber,0,0,0,0.25124422951711944,0.1913773366644726,Amber,1,0,1,1,0
04_RT,4,3,R4Q3,7,Animal,1,2.269,3.0,0.0156,0.20408164,0.14925373134328357,0.32608695652173914,0.20408163964748383,0.2174383990932256,0.116839567284545,0.322808118491962,0.22319497843272984,0.23079515853896737,0.08442540322580645,0.3195292804621849,0.24230831721797585,1,1,Amber,0,0,0,0.22766293458230163,0.25124422951711944,Amber,0,0,1,0,0
04_RT,5,1,R5Q1,8,Animal,1,1.369,7.0,0.0062,0.25,0.16666666666666666,0.32608695652173914,0.25,0.2337191995466128,0.14175311697560583,0.32444753750685057,0.23659748921636492,0.2174383990932256,0.116839567284545,0.322808118491962,0.22319497843272984,1,1,Amber,0,0,0,0.23883146729115082,0.22766293458230163,Amber,0,0,0,0,0
04_RT,5,3,R5Q3,9,Sign,1,1.732,6.0,0.1764,0.20408164,0.07142857142857142,0.3,0.20408163964748383,0.2189004195970483,0.10659084420208863,0.3122237687534253,0.22033956443192437,0.2337191995466128,0.14175311697560583,0.32444753750685057,0.23659748921636492,1,1,Amber,0,0,0,0.2214565534693173,0.23883146729115082,Amber,0,0,0,0,0
04_RT,6,1,R6Q1,10,Sign,1,1.036,7.0,0.1106,0.20408164,0.053763440860215055,0.3392857142857143,0.20408163964748383,0.21149102962226607,0.08017714253115184,0.3257547415195698,0.2122106020397041,0.2189004195970483,0.10659084420208863,0.3122237687534253,0.22033956443192437,1,1,Amber,0,0,0,0.21276909655840057,0.2214565534693173,Amber,0,0,0,0,0
04_RT,6,3,R6Q3,11,Animal,1,1.378,7.0,0.215,0.092857145,0.053763440860215055,0.15,0.09285714477300644,0.15217408719763625,0.06697029169568344,0.23787737075978488,0.15253387340635527,0.21149102962226607,0.08017714253115184,0.3257547415195698,0.2122106020397041,0,0,Green,0,0,0,0.15281312066570352,0.21276909655840057,Green,0,0,0,0,0
05_RT,1,1,R1Q1,0,Animal,1,1.218,7.0,0.0728,0.092857145,0.053763440860215055,0.2631578947368421,0.09285714477300644,0.09285714477300644,0.053763440860215055,0.2631578947368421,0.09285714477300644,,,,,0,0,Green,0,0,0,0.09285714477300644,,Green,0,0,0,0,0
05_RT,1,3,R1Q3,1,Sign,0,3.48,1.0,0.0,0.31111112,0.14925373134328357,0.3,0.31111112236976624,0.20198413357138634,0.10150858610174932,0.28157894736842104,0.20198413357138634,0.09285714477300644,0.053763440860215055,0.2631578947368421,0.09285714477300644,1,0,Amber,0,0,0,0.20198413357138634,0.09285714477300644,Amber,1,0,1,1,0
05_RT,2,2,R2Q2,2,Sign,1,1.33,7.0,0.0,0.20408164,0.053763440860215055,0.3,0.20408163964748383,0.20303288660943508,0.07763601348098219,0.2907894736842105,0.20303288660943508,0.20198413357138634,0.10150858610174932,0.28157894736842104,0.20198413357138634,1,1,Amber,0,0,0,0.20303288660943508,0.20198413357138634,Amber,0,0,0,0,0
05_RT,2,3,R2Q3,3,Animal,1,0.746,7.0,0.0322,0.20408164,0.053763440860215055,0.2631578947368421,0.20408163964748383,0.20355726312845945,0.06569972717059862,0.27697368421052626,0.20355726312845945,0.20303288660943508,0.07763601348098219,0.2907894736842105,0.20303288660943508,1,1,Amber,0,0,0,0.20355726312845945,0.20303288660943508,Amber,0,0,0,0,0
05_RT,3,1,R3Q1,4,Animal,1,0.889,4.0,0.42939999999999995,0.092857145,0.053763440860215055,0.11764705882352941,0.09285714477300644,0.14820720395073295,0.05973158401540683,0.19731037151702785,0.14820720395073295,0.20355726312845945,0.06569972717059862,0.27697368421052626,0.20355726312845945,0,0,Green,0,0,0,0.14820720395073295,0.20355726312845945,Green,0,0,1,0,0
05_RT,3,3,R3Q3,5,Sign,1,0.862,7.0,0.4474,0.092857145,0.053763440860215055,0.0,0.09285714477300644,0.12053217436186969,0.05674751243781094,0.09865518575851392,0.12053217436186969,0.14820720395073295,0.05973158401540683,0.19731037151702785,0.14820720395073295,0,0,Green,0,0,0,0.12053217436186969,0.14820720395073295,Green,0,0,0,0,0
05_RT,4,2,R4Q2,6,Sign,1,0.859,7.0,0.0258,0.092857145,0.053763440860215055,0.32608695652173914,0.09285714477300644,0.10669465956743807,0.055255476649012994,0.21237107114012654,0.10669465956743807,0.12053217436186969,0.05674751243781094,0.09865518575851392,0.12053217436186969,0,0,Green,0,0,0,0.10669465956743807,0.12053217436186969,Green,0,0,0,0,0
05_RT,4,3,R4Q3,7,Animal,1,0.781,7.0,0.141,0.092857145,0.053763440860215055,0.15,0.09285714477300644,0.09977590217022225,0.05450945875461402,0.18118553557006328,0.09977590217022225,0.10669465956743807,0.055255476649012994,0.21237107114012654,0.10669465956743807,0,0,Green,0,0,0,0.09977590217022225,0.10669465956743807,Green,0,0,0,0,0
05_RT,5,1,R5Q1,8,Animal,1,0.932,7.0,0.11220000000000001,0.092857145,0.053763440860215055,0.15,0.09285714477300644,0.09631652347161435,0.05413644980741454,0.16559276778503162,0.09631652347161435,0.09977590217022225,0.05450945875461402,0.18118553557006328,0.09977590217022225,0,0,Green,0,0,0,0.09631652347161435,0.09977590217022225,Green,0,0,0,0,0
05_RT,5,3,R5Q3,9,Sign,1,0.771,7.0,0.4676,0.092857145,0.053763440860215055,0.0,0.09285714477300644,0.09458683412231039,0.053949945333814794,0.08279638389251581,0.09458683412231039,0.09631652347161435,0.05413644980741454,0.16559276778503162,0.09631652347161435,0,0,Green,0,0,0,0.09458683412231039,0.09631652347161435,Green,0,0,0,0,0
05_RT,6,1,R6Q1,10,Sign,1,1.831,4.0,0.0726,0.092857145,0.0,0.2631578947368421,0.09285714477300644,0.09372198944765842,0.026974972666907397,0.17297713931467895,0.09372198944765842,0.09458683412231039,0.053949945333814794,0.08279638389251581,0.09458683412231039,0,0,Green,0,0,0,0.09372198944765842,0.09458683412231039,Green,0,0,1,0,0
05_RT,6,3,R6Q3,11,Animal,1,0.93,7.0,0.2444,0.092857145,0.0,0.15,0.09285714477300644,0.09328956711033243,0.013487486333453699,0.1614885696573395,0.09328956711033243,0.09372198944765842,0.026974972666907397,0.17297713931467895,0.09372198944765842,0,0,Green,0,0,0,0.09328956711033243,0.09372198944765842,Green,0,0,0,0,0
06_RT,1,1,R1Q1,0,Animal,1,1.809,7.0,0.0,0.31111112,0.14925373134328357,0.3,0.31111112236976624,0.31111112236976624,0.14925373134328357,0.3,0.31111112236976624,,,,,1,0,Red,1,0,1,0.31111112236976624,,Red,0,0,0,0,0
06_RT,1,3,R1Q3,1,Sign,1,1.993,7.0,0.0,0.31111112,0.25,0.44,0.31111112236976624,0.31111112236976624,0.19962686567164178,0.37,0.31111112236976624,0.31111112236976624,0.14925373134328357,0.3,0.31111112236976624,1,1,Red,1,0,1,0.31111112236976624,0.31111112236976624,Red,0,0,0,0,0
06_RT,2,2,R2Q2,2,Sign,1,1.487,7.0,0.0064,0.092857145,0.14925373134328357,0.2631578947368421,0.14925373134328357,0.20198413357138634,0.17444029850746268,0.31657894736842107,0.2301824268565249,0.31111112236976624,0.19962686567164178,0.37,0.31111112236976624,1,1,Amber,0,0,0,0.2301824268565249,0.31111112236976624,Amber,0,0,0,0,0
06_RT,2,3,R2Q3,3,Animal,0,1.178,7.0,0.032600000000000004,0.31111112,0.14925373134328357,0.3392857142857143,0.31111112236976624,0.2565476279705763,0.16184701492537312,0.3279323308270677,0.27064677461314557,0.20198413357138634,0.17444029850746268,0.31657894736842107,0.2301824268565249,1,1,Amber,0,0,0,0.27064677461314557,0.2301824268565249,Amber,1,0,0,1,0
06_RT,3,1,R3Q1,4,Animal,0,1.997,2.0,0.0,0.31111112,0.2692307692307692,0.3392857142857143,0.31111112236976624,0.28382937517017126,0.21553889207807117,0.333609022556391,0.2908789484914559,0.2565476279705763,0.16184701492537312,0.3279323308270677,0.27064677461314557,1,1,Red,1,1,0,0.465831861882844,0.27064677461314557,Red,1,0,1,1,0
06_RT,3,3,R3Q3,5,Sign,1,2.914,7.0,0.0,0.20408164,0.20833333333333334,0.3392857142857143,0.20833333333333334,0.24395550740882754,0.21193611270570226,0.33644736842105266,0.24960614091239464,0.28382937517017126,0.21553889207807117,0.333609022556391,0.2908789484914559,1,1,Amber,0,0,0,0.3370825976080887,0.465831861882844,Red,0,0,0,0,0
06_RT,4,2,R4Q2,6,Sign,1,1.49,7.0,0.0,0.092857145,0.14925373134328357,0.3,0.14925373134328357,0.168406326090917,0.1805949220244929,0.3182236842105263,0.1994299361278391,0.24395550740882754,0.21193611270570226,0.33644736842105266,0.24960614091239464,1,1,Amber,0,0,0,0.24316816447568612,0.3370825976080887,Amber,0,0,0,0,0
06_RT,4,3,R4Q3,7,Animal,1,1.564,7.0,0.061399999999999996,0.31111112,0.07142857142857142,0.44,0.31111112236976624,0.2397587242303416,0.12601174672653215,0.37911184210526316,0.25527052924880267,0.168406326090917,0.1805949220244929,0.3182236842105263,0.1994299361278391,1,1,Amber,0,0,0,0.2771396434227262,0.24316816447568612,Amber,0,0,0,0,0
06_RT,5,1,R5Q1,8,Animal,1,1.242,7.0,0.0134,0.31111112,0.053763440860215055,0.32608695652173914,0.31111112236976624,0.2754349233000539,0.0898875937933736,0.35259939931350115,0.28319082580928445,0.2397587242303416,0.12601174672653215,0.37911184210526316,0.25527052924880267,1,1,Red,1,0,1,0.29412538289624623,0.2771396434227262,Red,0,0,0,0,0
06_RT,5,3,R5Q3,9,Sign,1,2.266,7.0,0.0342,0.31111112,0.053763440860215055,0.3,0.31111112236976624,0.2932730228349101,0.07182551732679433,0.32629969965675054,0.29715097408952534,0.2754349233000539,0.0898875937933736,0.35259939931350115,0.28319082580928445,1,1,Red,1,0,1,0.30261825263300624,0.29412538289624623,Red,0,0,0,0,0
06_RT,6,1,R6Q1,10,Sign,1,1.653,7.0,0.1534,0.092857145,0.053763440860215055,0.3,0.09285714477300644,0.19306508380395826,0.06279447909350469,0.31314984982837524,0.1950040594312659,0.2932730228349101,0.07182551732679433,0.32629969965675054,0.29715097408952534,1,1,Amber,0,0,0,0.19773769870300634,0.30261825263300624,Amber,0,0,0,0,0
