blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID,folder,imu_rows,has_imu,roll_p95,pitch_p95,transl_p95,resting_lin
CLIP_47D1F1,2.590,,0.0,,,0.0,0.0,0.0,,D,15_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,7.89,13.14,9.89,12.14,,2.59,,False,0.5899999999999999,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_15,13448,True,5.9300058417429735,3.410154584081394,0.06617238402405916,0.01963512687309487
CLIP_4A91C5,3.158,,1.0,,,0.0,1.0,1.0,slowed right down to see squirrel,B,19_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,61.03,67.47,63.03,66.47,,3.158,,False,1.158,1.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R2_19,23315,True,2.2165590634713337,1.7581934298400086,0.04141965552855105,0.010255364098780985
CLIP_4DDD00,4.955,,0.0,,,0.0,1.0,1.0,minor delay in taking the turn,D,35_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.13,16.07,10.13,15.07,,4.955,,False,2.955,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_35,15633,True,8.797653372231899,18.081902018397553,0.11282345571137906,0.013317076492428559
CLIP_4DF081,1.679,,0.0,,,0.0,1.0,1.0,slowed right down to see rabbit,D,13_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,19.21,24.78,21.21,23.78,,1.679,,False,0.0,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_13,22280,True,5.750391976955058,6.46372998270671,0.09035157516402195,0.026757877661110867
CLIP_5046EE,3.443,,0.0,,,0.0,0.0,0.0,low speed,D,09_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,14.7,20.01,16.7,19.01,,3.443,,False,1.443,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_09,18087,True,1.7157635392689266,4.602573296431107,0.03075676797269899,0.01052770812998848
CLIP_517256,3.048,,0.0,,,0.0,0.0,0.0,,D,29_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,20.53,25.02,22.53,24.02,,3.048,,False,1.048,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_29,12066,True,4.655223927814681,3.7494437115267374,0.09688071109498014,0.02447153188879135
CLIP_53067F,3.246,,0.0,,,0.0,,0.0,Quick confirmation glance at Name. Probably from memory,C,16_RT,2,Q1,Name,Name1,Visual_Search,0,0,4.62,9.01,6.62,8.01,,3.246,,False,1.246,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,R2_16,12825,True,2.778496648399139,3.5518515894162093,0.04280225711920501,0.016385748292778123
CLIP_539DBE,2.943,,1.0,,,1.0,0.0,0.0,Lean to the left to get a look at the no markings sign,D,11_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,30.21,35.54,32.21,34.54,,2.943,,False,0.943,1.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True,R3_11,18984,True,6.221633124922815,14.112233708680085,0.13981981285503528,0.02705002005281562
CLIP_574076,4.922,,0.0,,,1.0,,1.0,slowed down and delayed turn,C,30_RT,2,Q1,Name,Name1,Visual_Search,1,1,10.31,18.04,12.31,17.04,18.65,4.922,,False,2.9219999999999997,0.0,1.0,,1.0,False,0.0,1.0,1.0,0.0,False,R2_30,18962,True,3.33666536017349,2.443560174454807,0.04997175680421985,0.017804718570135596
CLIP_57F3C7,4.566,,0.0,,,1.0,0.0,1.0,slowed down to see the rabbit,D,34_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,5.88,11.84,7.88,10.84,,4.566,,False,2.566,0.0,1.0,0.0,1.0,False,0.0,1.0,1.0,0.0,True,R3_34,15955,True,2.798866020070946,4.767282167768776,0.046286496428729215,0.019882981934531592
